Genome,File_type,Sequence_type,Number_of_sequences,Size,min,mean,max
GCA_016184365.1,FASTA,Protein,5755,1720821,21,299,2863
GCA_016184445.1,FASTA,Protein,2616,682785,20,261,1612
GCA_016184455.1,FASTA,Protein,4522,1454006,21,321.5,2261
GCA_016185015.1,FASTA,Protein,3825,1234343,20,322.7,2638
GCA_016185065.1,FASTA,Protein,1693,573774,34,338.9,2412
GCA_016185075.1,FASTA,Protein,3458,1023761,20,296.1,2487
GCA_016185105.1,FASTA,Protein,1660,531955,25,320.5,1819
GCA_016185115.1,FASTA,Protein,4602,1455109,25,316.2,3652
GCA_016185125.1,FASTA,Protein,2940,1018352,25,346.4,3046
GCA_016185145.1,FASTA,Protein,7536,2330074,20,309.2,3851
GCA_016185185.1,FASTA,Protein,2744,855300,22,311.7,1708
GCA_016185205.1,FASTA,Protein,4396,1284849,20,292.3,1735
GCA_016185245.1,FASTA,Protein,3472,1071542,23,308.6,2876
GCA_016185255.1,FASTA,Protein,1454,413700,23,284.5,2179
GCA_016185275.1,FASTA,Protein,3248,1043504,20,321.3,1703
GCA_016185305.1,FASTA,Protein,3179,993447,20,312.5,2012
GCA_016185345.1,FASTA,Protein,2337,754436,20,322.8,5576
GCA_016185365.1,FASTA,Protein,2235,703301,21,314.7,2464
GCA_016185395.1,FASTA,Protein,2261,742840,32,328.5,2431
GCA_016185425.1,FASTA,Protein,5754,2088321,23,362.9,2274
GCA_016185465.1,FASTA,Protein,2330,727258,20,312.1,2891
GCA_016185505.1,FASTA,Protein,730,196198,20,268.8,1398
GCA_016185525.1,FASTA,Protein,837,239761,32,286.5,1637
GCA_016185545.1,FASTA,Protein,868,249124,30,287,2012
GCA_016186045.1,FASTA,Protein,905,277802,32,307,3243
GCA_016186095.1,FASTA,Protein,731,205744,30,281.5,1698
GCA_016186115.1,FASTA,Protein,684,205337,31,300.2,2224
GCA_016186145.1,FASTA,Protein,1076,283751,22,263.7,2025
GCA_016186175.1,FASTA,Protein,927,273174,23,294.7,1926
GCA_016186205.1,FASTA,Protein,1312,432109,23,329.4,3836
GCA_016186235.1,FASTA,Protein,1052,254357,20,241.8,1274
GCA_016186245.1,FASTA,Protein,916,280229,31,305.9,1979
GCA_016186325.1,FASTA,Protein,795,222691,30,280.1,2092
GCA_016186395.1,FASTA,Protein,706,197749,30,280.1,1882
GCA_016186435.1,FASTA,Protein,802,214044,21,266.9,1380
GCA_016186485.1,FASTA,Protein,721,212026,34,294.1,2367
GCA_016186495.1,FASTA,Protein,667,196872,30,295.2,1280
GCA_016186525.1,FASTA,Protein,677,178630,23,263.9,1685
GCA_016186625.1,FASTA,Protein,1006,278185,25,276.5,1450
GCA_016186635.1,FASTA,Protein,982,272128,26,277.1,2324
GCA_016186645.1,FASTA,Protein,939,271758,25,289.4,1476
GCA_016186695.1,FASTA,Protein,1036,274812,25,265.3,2384
GCA_016186705.1,FASTA,Protein,630,172652,32,274.1,1222
GCA_016186715.1,FASTA,Protein,2232,731127,21,327.6,2298
GCA_016186765.1,FASTA,Protein,834,232314,36,278.6,2443
GCA_016186795.1,FASTA,Protein,1352,411161,32,304.1,1961
GCA_016186825.1,FASTA,Protein,797,227277,30,285.2,3914
GCA_016186905.1,FASTA,Protein,2787,876125,20,314.4,2581
GCA_016186915.1,FASTA,Protein,794,215672,30,271.6,2372
GCA_016186945.1,FASTA,Protein,2448,815329,20,333.1,3196
GCA_016186955.1,FASTA,Protein,1470,421826,32,287,3655
GCA_016186985.1,FASTA,Protein,1102,284467,23,258.1,1140
GCA_016186995.1,FASTA,Protein,1600,515962,29,322.5,1716
GCA_016187025.1,FASTA,Protein,1100,317982,30,289.1,2747
GCA_016187035.1,FASTA,Protein,1046,326583,31,312.2,4495
GCA_016187105.1,FASTA,Protein,714,192976,21,270.3,1582
GCA_016187125.1,FASTA,Protein,881,239965,26,272.4,1703
GCA_016187175.1,FASTA,Protein,719,199292,25,277.2,1558
GCA_016187205.1,FASTA,Protein,846,210871,26,249.3,1374
GCA_016187225.1,FASTA,Protein,865,254729,40,294.5,1851
GCA_016187325.1,FASTA,Protein,3058,837666,20,273.9,1615
GCA_016187485.1,FASTA,Protein,841,272553,31,324.1,3459
GCA_016187515.1,FASTA,Protein,1214,357200,27,294.2,3664
GCA_016187725.1,FASTA,Protein,5032,1705154,20,338.9,2329
GCA_016187835.1,FASTA,Protein,2922,795997,21,272.4,2905
GCA_016187925.1,FASTA,Protein,3520,1197541,22,340.2,2204
GCA_016187935.1,FASTA,Protein,4057,1359596,21,335.1,4425
GCA_016187945.1,FASTA,Protein,4270,1623362,25,380.2,12107
GCA_016188005.1,FASTA,Protein,5295,1642020,24,310.1,2941
GCA_016188075.1,FASTA,Protein,743,200552,31,269.9,2248
GCA_016188295.1,FASTA,Protein,601,173088,35,288,1221
GCA_016188355.1,FASTA,Protein,1066,318784,20,299,3649
GCA_016188385.1,FASTA,Protein,1033,319810,29,309.6,3037
GCA_016188425.1,FASTA,Protein,982,305477,27,311.1,3486
GCA_016188455.1,FASTA,Protein,980,253397,32,258.6,2476
GCA_016188475.1,FASTA,Protein,847,264543,28,312.3,3384
GCA_016188495.1,FASTA,Protein,1178,353522,23,300.1,3436
GCA_016188545.1,FASTA,Protein,1120,301196,33,268.9,2395
GCA_016188575.1,FASTA,Protein,7139,2748543,20,385,4286
GCA_016188605.1,FASTA,Protein,729,228250,25,313.1,3384
GCA_016188625.1,FASTA,Protein,2905,783567,21,269.7,1513
GCA_016188675.1,FASTA,Protein,3466,1050730,22,303.2,1613
GCA_016188705.1,FASTA,Protein,1198,408638,22,341.1,4700
GCA_016188735.1,FASTA,Protein,488,120342,26,246.6,1075
GCA_016188765.1,FASTA,Protein,587,147662,22,251.6,1250
GCA_016188775.1,FASTA,Protein,759,227879,30,300.2,2552
GCA_016188785.1,FASTA,Protein,1026,292434,24,285,2871
GCA_016188835.1,FASTA,Protein,736,198959,24,270.3,1193
GCA_016188865.1,FASTA,Protein,818,235739,30,288.2,1426
GCA_016188915.1,FASTA,Protein,755,226587,30,300.1,2704
GCA_016188975.1,FASTA,Protein,1417,391471,20,276.3,1637
GCA_016188985.1,FASTA,Protein,2641,900461,21,341,2908
GCA_016189025.1,FASTA,Protein,1195,361401,20,302.4,2987
GCA_016189825.1,FASTA,Protein,1538,425584,20,276.7,1522
GCA_016189835.1,FASTA,Protein,2504,803601,22,320.9,1855
GCA_016189845.1,FASTA,Protein,1672,478093,20,285.9,2414
GCA_016189905.1,FASTA,Protein,3109,1032489,20,332.1,4422
GCA_016189945.1,FASTA,Protein,3538,1075767,20,304.1,3807
GCA_016189965.1,FASTA,Protein,1584,460522,20,290.7,1176
GCA_016190005.1,FASTA,Protein,3502,1375880,22,392.9,6092
GCA_016190025.1,FASTA,Protein,2401,763680,20,318.1,1506
GCA_016190065.1,FASTA,Protein,4712,1649494,20,350.1,4402
GCA_016190145.1,FASTA,Protein,4690,1613131,21,344,2681
GCA_016190155.1,FASTA,Protein,4009,1368303,20,341.3,2979
GCA_016190175.1,FASTA,Protein,3497,1131136,22,323.5,2780
GCA_016190205.1,FASTA,Protein,1527,516086,24,338,9496
GCA_016190215.1,FASTA,Protein,1029,308506,24,299.8,2244
GCA_016190245.1,FASTA,Protein,2850,1002814,21,351.9,4705
GCA_016190255.1,FASTA,Protein,1774,487140,20,274.6,1466
GCA_016190285.1,FASTA,Protein,2403,659288,20,274.4,1530
GCA_016190305.1,FASTA,Protein,1834,558912,21,304.8,2186
GCA_016190375.1,FASTA,Protein,6769,2422526,21,357.9,3902
GCA_016190405.1,FASTA,Protein,2054,536062,20,261,2171
GCA_016190445.1,FASTA,Protein,1932,590866,20,305.8,5080
GCA_016190465.1,FASTA,Protein,3950,1228584,20,311,2346
GCA_016190485.1,FASTA,Protein,2791,848298,20,303.9,3634
GCA_016190505.1,FASTA,Protein,3178,949338,20,298.7,2997
GCA_016190535.1,FASTA,Protein,1018,275257,21,270.4,1321
GCA_016190545.1,FASTA,Protein,1541,403279,22,261.7,1440
GCA_016190585.1,FASTA,Protein,1919,556461,20,290,2820
GCA_016190625.1,FASTA,Protein,2955,920567,20,311.5,3391
GCA_016190665.1,FASTA,Protein,4612,1454941,25,315.5,2009
GCA_016190695.1,FASTA,Protein,1328,392360,20,295.5,1567
GCA_016190755.1,FASTA,Protein,2022,616776,21,305,2827
GCA_016190785.1,FASTA,Protein,1362,383938,22,281.9,2193
GCA_016190815.1,FASTA,Protein,1341,402440,20,300.1,2721
GCA_016190825.1,FASTA,Protein,1869,527672,26,282.3,2449
GCA_016190895.1,FASTA,Protein,2138,601704,21,281.4,3658
GCA_016190925.1,FASTA,Protein,2260,657950,20,291.1,2095
GCA_016190935.1,FASTA,Protein,3338,1120716,20,335.7,2854
GCA_016190945.1,FASTA,Protein,1946,592746,20,304.6,2741
GCA_016190985.1,FASTA,Protein,2678,894976,23,334.2,2004
GCA_016190995.1,FASTA,Protein,3401,1125949,20,331.1,2564
GCA_016191015.1,FASTA,Protein,5382,1885248,20,350.3,4278
GCA_016191085.1,FASTA,Protein,3209,1021742,21,318.4,2419
GCA_016191105.1,FASTA,Protein,1053,275964,22,262.1,1306
GCA_016191115.1,FASTA,Protein,4815,1718761,20,357,8785
GCA_016191145.1,FASTA,Protein,2116,772395,24,365,3465
GCA_016191165.1,FASTA,Protein,6092,2122754,20,348.4,9629
GCA_016191205.1,FASTA,Protein,2364,761495,23,322.1,2553
GCA_016191225.1,FASTA,Protein,2650,931844,20,351.6,3249
GCA_016191235.1,FASTA,Protein,2120,630620,20,297.5,1810
GCA_016191245.1,FASTA,Protein,2739,901685,31,329.2,3921
GCA_016191285.1,FASTA,Protein,4992,1502270,20,300.9,3505
GCA_016191305.1,FASTA,Protein,2579,727589,21,282.1,2138
GCA_016191325.1,FASTA,Protein,1267,380356,31,300.2,2152
GCA_016191335.1,FASTA,Protein,3249,1144992,22,352.4,5935
GCA_016191345.1,FASTA,Protein,2599,833845,21,320.8,2927
GCA_016191385.1,FASTA,Protein,1572,447328,20,284.6,1746
GCA_016191395.1,FASTA,Protein,2342,749525,26,320,8183
GCA_016191425.1,FASTA,Protein,2250,709121,25,315.2,1872
GCA_016191435.1,FASTA,Protein,3806,1128429,23,296.5,3459
GCA_016191465.1,FASTA,Protein,2030,643912,21,317.2,2352
GCA_016191525.1,FASTA,Protein,4885,1564260,20,320.2,4009
GCA_016191555.1,FASTA,Protein,3777,1258427,23,333.2,3645
GCA_016191565.1,FASTA,Protein,1216,350564,21,288.3,2147
GCA_016191645.1,FASTA,Protein,3895,1401759,23,359.9,3167
GCA_016191685.1,FASTA,Protein,4160,1178848,20,283.4,1632
GCA_016191715.1,FASTA,Protein,3227,1009384,22,312.8,3488
GCA_016191785.1,FASTA,Protein,7485,2576095,21,344.2,3756
GCA_016191795.1,FASTA,Protein,2945,820116,20,278.5,1979
GCA_016191815.1,FASTA,Protein,5803,2089052,20,360,5285
GCA_016191845.1,FASTA,Protein,4281,1413493,25,330.2,2849
GCA_016191875.1,FASTA,Protein,2925,968870,30,331.2,2395
GCA_016191895.1,FASTA,Protein,2244,639249,20,284.9,2048
GCA_016191955.1,FASTA,Protein,4265,1301549,21,305.2,4233
GCA_016191985.1,FASTA,Protein,3379,1021859,21,302.4,2829
GCA_016191995.1,FASTA,Protein,4271,1359349,20,318.3,2757
GCA_016192025.1,FASTA,Protein,3331,964831,20,289.7,1709
GCA_016192035.1,FASTA,Protein,2558,925393,21,361.8,4323
GCA_016192065.1,FASTA,Protein,3686,1222787,21,331.7,2456
GCA_016192075.1,FASTA,Protein,3969,1407770,30,354.7,3073
GCA_016192105.1,FASTA,Protein,3364,1151415,24,342.3,3102
GCA_016192135.1,FASTA,Protein,3775,1151337,23,305,2280
GCA_016192145.1,FASTA,Protein,3359,1161255,24,345.7,4222
GCA_016192205.1,FASTA,Protein,876,260058,25,296.9,1600
GCA_016192345.1,FASTA,Protein,3026,1064033,20,351.6,2042
GCA_016192425.1,FASTA,Protein,3404,1117645,21,328.3,4111
GCA_016192435.1,FASTA,Protein,3418,1081756,21,316.5,8833
GCA_016192455.1,FASTA,Protein,3661,1226976,31,335.1,2594
GCA_016192525.1,FASTA,Protein,3463,1224498,20,353.6,8467
GCA_016192545.1,FASTA,Protein,1400,426002,24,304.3,2660
GCA_016192645.1,FASTA,Protein,846,217149,20,256.7,2291
GCA_016192685.1,FASTA,Protein,765,220375,33,288.1,2370
GCA_016192705.1,FASTA,Protein,4258,1623725,20,381.3,5296
GCA_016192825.1,FASTA,Protein,4841,1482943,20,306.3,4168
GCA_016192835.1,FASTA,Protein,5503,1546282,20,281,2304
GCA_016192845.1,FASTA,Protein,4248,1350871,22,318,2703
GCA_016192885.1,FASTA,Protein,2774,816185,20,294.2,1976
GCA_016193045.1,FASTA,Protein,4064,1184795,23,291.5,1734
GCA_016193065.1,FASTA,Protein,3155,844324,20,267.6,1591
GCA_016193105.1,FASTA,Protein,1985,578960,21,291.7,1651
GCA_016193115.1,FASTA,Protein,1513,477319,20,315.5,3789
GCA_016193165.1,FASTA,Protein,1491,406041,22,272.3,1205
GCA_016193175.1,FASTA,Protein,1776,545370,22,307.1,15026
GCA_016193195.1,FASTA,Protein,1156,318615,20,275.6,2347
GCA_016193285.1,FASTA,Protein,1786,562359,20,314.9,5882
GCA_016193315.1,FASTA,Protein,1182,337417,30,285.5,3997
GCA_016193365.1,FASTA,Protein,3037,975530,21,321.2,2696
GCA_016193385.1,FASTA,Protein,5506,1496083,20,271.7,2755
GCA_016193395.1,FASTA,Protein,2569,825548,22,321.3,2088
GCA_016193465.1,FASTA,Protein,4612,1350264,20,292.8,2487
GCA_016193485.1,FASTA,Protein,3042,1235486,20,406.1,5883
GCA_016193545.1,FASTA,Protein,1539,415454,21,270,1318
GCA_016193565.1,FASTA,Protein,1880,532808,21,283.4,1289
GCA_016194285.1,FASTA,Protein,2386,703380,20,294.8,2819
GCA_016194305.1,FASTA,Protein,2239,689417,31,307.9,3351
GCA_016194325.1,FASTA,Protein,3265,929149,20,284.6,5499
GCA_016194375.1,FASTA,Protein,1922,567541,24,295.3,1511
GCA_016194445.1,FASTA,Protein,996,258196,31,259.2,2241
GCA_016194455.1,FASTA,Protein,685,186242,22,271.9,1352
GCA_016194465.1,FASTA,Protein,908,238810,21,263,2320
GCA_016194505.1,FASTA,Protein,2126,685233,20,322.3,3321
GCA_016194585.1,FASTA,Protein,2946,1031427,25,350.1,2360
GCA_016194625.1,FASTA,Protein,3093,912436,20,295,8147
GCA_016194635.1,FASTA,Protein,3572,1107760,25,310.1,6144
GCA_016194665.1,FASTA,Protein,2563,736914,20,287.5,2600
GCA_016194705.1,FASTA,Protein,3778,1315139,21,348.1,10257
GCA_016194725.1,FASTA,Protein,4287,1228622,21,286.6,1701
GCA_016194745.1,FASTA,Protein,3473,1216353,22,350.2,25360
GCA_016194795.1,FASTA,Protein,3418,973385,21,284.8,4129
GCA_016194825.1,FASTA,Protein,1056,295876,21,280.2,2573
GCA_016194835.1,FASTA,Protein,2208,593754,21,268.9,1870
GCA_016194865.1,FASTA,Protein,1464,436476,23,298.1,1483
GCA_016194905.1,FASTA,Protein,4653,1411972,23,303.5,1961
GCA_016194935.1,FASTA,Protein,3513,1059337,22,301.5,3492
GCA_016194975.1,FASTA,Protein,3505,1251909,23,357.2,3479
GCA_016194985.1,FASTA,Protein,3913,1303442,25,333.1,4264
GCA_016195025.1,FASTA,Protein,3105,1083135,23,348.8,4826
GCA_016195045.1,FASTA,Protein,723,170213,22,235.4,1699
GCA_016195085.1,FASTA,Protein,4579,1443351,23,315.2,2512
GCA_016195095.1,FASTA,Protein,3737,1109714,21,297,3364
GCA_016195115.1,FASTA,Protein,5506,1523023,20,276.6,2271
GCA_016195125.1,FASTA,Protein,3719,1105531,21,297.3,4819
GCA_016195145.1,FASTA,Protein,3051,857253,20,281,1253
GCA_016195185.1,FASTA,Protein,2065,576319,21,279.1,1690
GCA_016195205.1,FASTA,Protein,1994,518767,20,260.2,1868
GCA_016195215.1,FASTA,Protein,2249,635869,20,282.7,1509
GCA_016195245.1,FASTA,Protein,3370,903225,20,268,1509
GCA_016195265.1,FASTA,Protein,4082,1397771,22,342.4,2782
GCA_016195295.1,FASTA,Protein,4444,1272285,20,286.3,2157
GCA_016195325.1,FASTA,Protein,4014,1488561,21,370.8,7912
GCA_016195385.1,FASTA,Protein,5064,1783695,21,352.2,6549
GCA_016195395.1,FASTA,Protein,2766,777754,20,281.2,2667
GCA_016195405.1,FASTA,Protein,5968,2035578,20,341.1,5902
GCA_016195465.1,FASTA,Protein,2738,772863,20,282.3,1787
GCA_016195485.1,FASTA,Protein,1585,463956,20,292.7,2765
GCA_016195505.1,FASTA,Protein,3077,767581,20,249.5,2685
GCA_016195565.1,FASTA,Protein,2433,699969,25,287.7,2231
GCA_016195585.1,FASTA,Protein,1995,514820,20,258.1,1409
GCA_016195615.1,FASTA,Protein,946,259556,25,274.4,4116
GCA_016195665.1,FASTA,Protein,2389,710823,20,297.5,2918
GCA_016195685.1,FASTA,Protein,1261,371108,35,294.3,2052
GCA_016195715.1,FASTA,Protein,1260,358104,21,284.2,3393
GCA_016195725.1,FASTA,Protein,2208,618219,23,280,3169
GCA_016195765.1,FASTA,Protein,1063,270954,21,254.9,1379
GCA_016195805.1,FASTA,Protein,2899,906785,20,312.8,3643
GCA_016195815.1,FASTA,Protein,3027,969885,31,320.4,2755
GCA_016195825.1,FASTA,Protein,5475,1858159,20,339.4,11692
GCA_016195855.1,FASTA,Protein,4243,1497922,30,353,9558
GCA_016195915.1,FASTA,Protein,6826,2112099,20,309.4,3061
GCA_016195965.1,FASTA,Protein,2733,819224,24,299.8,2554
GCA_016195985.1,FASTA,Protein,3654,1294685,28,354.3,3725
GCA_016196035.1,FASTA,Protein,7300,2816522,20,385.8,5052
GCA_016196065.1,FASTA,Protein,4822,1652045,29,342.6,2956
GCA_016196115.1,FASTA,Protein,975,253542,21,260,2366
GCA_016196125.1,FASTA,Protein,697,195566,33,280.6,2323
GCA_016196195.1,FASTA,Protein,656,179390,24,273.5,1272
GCA_016196225.1,FASTA,Protein,1128,332884,21,295.1,1440
GCA_016196295.1,FASTA,Protein,1173,330061,22,281.4,1756
GCA_016196375.1,FASTA,Protein,1443,415133,22,287.7,1644
GCA_016196415.1,FASTA,Protein,1450,464281,20,320.2,9090
GCA_016196465.1,FASTA,Protein,1476,450769,23,305.4,1996
GCA_016196505.1,FASTA,Protein,1057,304971,22,288.5,2655
GCA_016196515.1,FASTA,Protein,1061,297404,21,280.3,4076
GCA_016196545.1,FASTA,Protein,1162,379225,21,326.4,4996
GCA_016196555.1,FASTA,Protein,1595,538218,21,337.4,7832
GCA_016196565.1,FASTA,Protein,1747,683870,21,391.5,14955
GCA_016196605.1,FASTA,Protein,708,186187,22,263,2131
GCA_016196625.1,FASTA,Protein,849,239714,30,282.3,3733
GCA_016196755.1,FASTA,Protein,3945,1460363,30,370.2,10887
GCA_016196785.1,FASTA,Protein,2025,581922,24,287.4,4192
GCA_016196825.1,FASTA,Protein,3526,1088943,20,308.8,5969
GCA_016196885.1,FASTA,Protein,2025,670791,23,331.3,9030
GCA_016196905.1,FASTA,Protein,1550,421083,22,271.7,1639
GCA_016196925.1,FASTA,Protein,3226,1036024,23,321.1,2060
GCA_016197005.1,FASTA,Protein,1078,322545,31,299.2,2927
GCA_016197155.1,FASTA,Protein,1437,455818,21,317.2,9109
GCA_016197185.1,FASTA,Protein,3046,978821,23,321.3,2775
GCA_016197205.1,FASTA,Protein,6355,2549931,23,401.2,9498
GCA_016197225.1,FASTA,Protein,4318,1471925,21,340.9,3211
GCA_016197285.1,FASTA,Protein,5565,1702743,30,306,3221
GCA_016197305.1,FASTA,Protein,2062,608195,20,295,1715
GCA_016197345.1,FASTA,Protein,3229,866359,20,268.3,2137
GCA_016197365.1,FASTA,Protein,5285,1720126,30,325.5,10309
GCA_016197405.1,FASTA,Protein,5789,1885823,30,325.8,7561
GCA_016198045.1,FASTA,Protein,652,185530,25,284.6,2443
GCA_016198185.1,FASTA,Protein,1642,546277,20,332.7,2418
GCA_016198275.1,FASTA,Protein,892,245810,20,275.6,1802
GCA_016198325.1,FASTA,Protein,639,167166,22,261.6,1230
GCA_016198415.1,FASTA,Protein,819,221342,24,270.3,1933
GCA_016198545.1,FASTA,Protein,2079,613454,21,295.1,1484
GCA_016198745.1,FASTA,Protein,5705,1944487,20,340.8,2598
GCA_016198805.1,FASTA,Protein,1619,465560,24,287.6,2771
GCA_016198835.1,FASTA,Protein,1779,479534,21,269.6,1369
GCA_016198885.1,FASTA,Protein,1887,523118,20,277.2,1527
GCA_016198905.1,FASTA,Protein,1390,436528,20,314,9435
GCA_016198915.1,FASTA,Protein,1142,319344,21,279.6,1563
GCA_016198945.1,FASTA,Protein,1733,493464,22,284.7,1343
GCA_016199015.1,FASTA,Protein,3565,906019,20,254.1,2249
GCA_016199025.1,FASTA,Protein,2639,691345,20,262,1454
GCA_016199065.1,FASTA,Protein,923,273001,24,295.8,9162
GCA_016199085.1,FASTA,Protein,971,293911,20,302.7,3904
GCA_016199105.1,FASTA,Protein,2806,851290,20,303.4,2464
GCA_016199125.1,FASTA,Protein,2761,853260,20,309,2171
GCA_016199185.1,FASTA,Protein,765,191513,22,250.3,1242
GCA_016199215.1,FASTA,Protein,564,156756,31,277.9,1285
GCA_016199245.1,FASTA,Protein,2477,800331,20,323.1,2385
GCA_016199255.1,FASTA,Protein,2374,622977,20,262.4,1432
GCA_016199265.1,FASTA,Protein,5395,1615149,20,299.4,3145
GCA_016199305.1,FASTA,Protein,1868,485358,20,259.8,1407
GCA_016199325.1,FASTA,Protein,3959,1290387,23,325.9,10466
GCA_016199375.1,FASTA,Protein,1580,427890,22,270.8,1481
GCA_016199405.1,FASTA,Protein,2905,848425,21,292.1,2668
GCA_016199425.1,FASTA,Protein,4047,1243037,20,307.2,2853
GCA_016199485.1,FASTA,Protein,3993,1178723,20,295.2,1958
GCA_016199495.1,FASTA,Protein,1415,408074,22,288.4,1310
GCA_016199525.1,FASTA,Protein,3415,1056741,20,309.4,2772
GCA_016199545.1,FASTA,Protein,4568,1302146,20,285.1,7910
GCA_016199585.1,FASTA,Protein,4702,1570237,20,334,2445
GCA_016199605.1,FASTA,Protein,4381,1528874,20,349,2674
GCA_016199625.1,FASTA,Protein,1287,433615,30,336.9,1922
GCA_016199665.1,FASTA,Protein,2309,748265,21,324.1,2159
GCA_016199675.1,FASTA,Protein,2450,746408,21,304.7,3046
GCA_016199685.1,FASTA,Protein,1002,254499,24,254,1278
GCA_016199745.1,FASTA,Protein,3977,1263173,23,317.6,5883
GCA_016199805.1,FASTA,Protein,823,226848,23,275.6,2264
GCA_016199835.1,FASTA,Protein,2738,853145,23,311.6,2153
GCA_016199865.1,FASTA,Protein,2054,659396,20,321,3244
GCA_016199905.1,FASTA,Protein,4567,1597828,22,349.9,6105
GCA_016199925.1,FASTA,Protein,3455,1097453,21,317.6,5767
GCA_016199935.1,FASTA,Protein,4292,1523707,20,355,5056
GCA_016199985.1,FASTA,Protein,4703,2080660,22,442.4,17944
GCA_016200005.1,FASTA,Protein,5671,1960962,20,345.8,3769
GCA_016200085.1,FASTA,Protein,3560,1094461,20,307.4,2828
GCA_016200125.1,FASTA,Protein,4710,1439022,20,305.5,1681
GCA_016200135.1,FASTA,Protein,4866,1809761,21,371.9,3434
GCA_016200145.1,FASTA,Protein,6953,2416569,20,347.6,4124
GCA_016200155.1,FASTA,Protein,3397,1062864,23,312.9,1723
GCA_016200205.1,FASTA,Protein,4251,1433341,20,337.2,4692
GCA_016200225.1,FASTA,Protein,4111,1639428,25,398.8,3000
GCA_016200255.1,FASTA,Protein,2314,701104,21,303,2262
GCA_016200265.1,FASTA,Protein,3899,1350874,20,346.5,2852
GCA_016200325.1,FASTA,Protein,3850,1248836,30,324.4,2910
GCA_016200345.1,FASTA,Protein,2303,674958,21,293.1,1512
GCA_016200355.1,FASTA,Protein,3220,851285,20,264.4,1826
GCA_016200365.1,FASTA,Protein,3250,849293,20,261.3,2038
GCA_016200385.1,FASTA,Protein,2558,651324,20,254.6,1338
GCA_016200445.1,FASTA,Protein,3652,1031040,20,282.3,3393
GCA_016200465.1,FASTA,Protein,2223,619874,20,278.8,1921
GCA_016200485.1,FASTA,Protein,3006,919286,23,305.8,2612
GCA_016200495.1,FASTA,Protein,4009,1272586,20,317.4,2878
GCA_016200545.1,FASTA,Protein,4371,1366652,20,312.7,3492
GCA_016200585.1,FASTA,Protein,5077,1714911,20,337.8,2762
GCA_016200645.1,FASTA,Protein,2195,595131,22,271.1,1380
GCA_016200665.1,FASTA,Protein,2443,723426,21,296.1,1794
GCA_016200675.1,FASTA,Protein,2440,704608,21,288.8,2896
GCA_016200725.1,FASTA,Protein,2359,621065,21,263.3,1531
GCA_016200745.1,FASTA,Protein,2954,826863,20,279.9,2855
GCA_016200765.1,FASTA,Protein,3258,948073,20,291,1782
GCA_016200785.1,FASTA,Protein,4809,1379329,20,286.8,2399
GCA_016200825.1,FASTA,Protein,2681,702793,20,262.1,1983
GCA_016200845.1,FASTA,Protein,3188,1023672,20,321.1,4826
GCA_016200895.1,FASTA,Protein,5330,1734177,20,325.4,3757
GCA_016200915.1,FASTA,Protein,4077,1350789,20,331.3,2689
GCA_016200955.1,FASTA,Protein,4579,1511768,21,330.2,3417
GCA_016200965.1,FASTA,Protein,971,258379,25,266.1,1630
GCA_016200995.1,FASTA,Protein,711,187636,22,263.9,1369
GCA_016201015.1,FASTA,Protein,5503,1611174,20,292.8,1661
GCA_016201045.1,FASTA,Protein,3507,1083841,29,309.1,3385
GCA_016201065.1,FASTA,Protein,3528,1105006,24,313.2,6925
GCA_016201085.1,FASTA,Protein,4017,1077140,20,268.1,2086
GCA_016201105.1,FASTA,Protein,3893,1143475,22,293.7,2428
GCA_016201135.1,FASTA,Protein,2376,690977,22,290.8,1777
GCA_016201185.1,FASTA,Protein,3710,1126605,20,303.7,1545
GCA_016201205.1,FASTA,Protein,6255,2165250,20,346.2,2222
GCA_016201215.1,FASTA,Protein,3167,958017,22,302.5,1456
GCA_016201265.1,FASTA,Protein,2940,862944,21,293.5,1531
GCA_016201275.1,FASTA,Protein,5541,1919269,20,346.4,4193
GCA_016201285.1,FASTA,Protein,3243,1068990,21,329.6,3546
GCA_016201355.1,FASTA,Protein,608,168859,25,277.7,1506
GCA_016201405.1,FASTA,Protein,1925,608301,22,316,1884
GCA_016201425.1,FASTA,Protein,1365,356812,21,261.4,1345
GCA_016201465.1,FASTA,Protein,848,230708,23,272.1,2536
GCA_016201505.1,FASTA,Protein,877,235165,22,268.1,1806
GCA_016201575.1,FASTA,Protein,2957,758907,20,256.6,1348
GCA_016201645.1,FASTA,Protein,1985,529202,20,266.6,1632
GCA_016201685.1,FASTA,Protein,1209,330193,20,273.1,2213
GCA_016201695.1,FASTA,Protein,1061,305725,21,288.1,1743
GCA_016201735.1,FASTA,Protein,1804,566571,20,314.1,5616
GCA_016201765.1,FASTA,Protein,1936,587192,21,303.3,1987
GCA_016201795.1,FASTA,Protein,1567,506588,20,323.3,19166
GCA_016201805.1,FASTA,Protein,1645,442363,20,268.9,1683
GCA_016201825.1,FASTA,Protein,2831,845330,22,298.6,2178
GCA_016201865.1,FASTA,Protein,2555,753686,21,295,2721
GCA_016201875.1,FASTA,Protein,2003,566156,21,282.7,2883
GCA_016201905.1,FASTA,Protein,2180,685416,20,314.4,6271
GCA_016202335.1,FASTA,Protein,1709,523241,24,306.2,2051
GCA_016202395.1,FASTA,Protein,1843,592059,20,321.2,3138
GCA_016202425.1,FASTA,Protein,1877,572761,21,305.1,3807
GCA_016202435.1,FASTA,Protein,1749,532670,21,304.6,2065
